text,warmth,brightness,texture,valence,arousal,intensity,geometry,color_temperature
terrible beauty,0.48,0.6,0.65,0.4,0.65,0.88,0.52,0.52
beautiful destruction,0.45,0.55,0.72,0.35,0.7,0.92,0.55,0.5
gorgeous devastation,0.42,0.58,0.75,0.32,0.72,0.95,0.58,0.48
terrible beauty,0.48,0.6,0.65,0.4,0.65,0.88,0.52,0.52
beautiful destruction,0.45,0.55,0.72,0.35,0.7,0.92,0.55,0.5
gorgeous devastation,0.42,0.58,0.75,0.32,0.72,0.95,0.58,0.48
terrible beauty,0.48,0.6,0.65,0.4,0.65,0.88,0.52,0.52
beautiful destruction,0.45,0.55,0.72,0.35,0.7,0.92,0.55,0.5
gorgeous devastation,0.42,0.58,0.75,0.32,0.72,0.95,0.58,0.48
terrible beauty,0.48,0.6,0.65,0.4,0.65,0.88,0.52,0.52
beautiful destruction,0.45,0.55,0.72,0.35,0.7,0.92,0.55,0.5
gorgeous devastation,0.42,0.58,0.75,0.32,0.72,0.95,0.58,0.48
terrible beauty,0.48,0.6,0.65,0.4,0.65,0.88,0.52,0.52
beautiful ruins overgrown decay,0.55,0.5,0.7,0.55,0.35,0.7,0.45,0.55
stunning apocalypse golden hour,0.6,0.72,0.65,0.45,0.55,0.85,0.5,0.7
exquisite rot aesthetic decay,0.45,0.42,0.78,0.38,0.4,0.75,0.48,0.45
elegantly crumbling mansion,0.52,0.45,0.72,0.5,0.35,0.72,0.55,0.55
hauntingly beautiful abandoned place,0.48,0.4,0.65,0.52,0.38,0.78,0.55,0.5
achingly gorgeous tragedy,0.55,0.5,0.58,0.35,0.55,0.88,0.45,0.55
devastatingly pretty,0.5,0.62,0.55,0.45,0.58,0.82,0.48,0.52
bittersweet nostalgia,0.58,0.48,0.42,0.48,0.32,0.68,0.4,0.58
happy memories that make you cry,0.65,0.55,0.38,0.52,0.4,0.75,0.35,0.62
nostalgic ache longing for past,0.6,0.45,0.4,0.45,0.35,0.72,0.38,0.6
bittersweet nostalgia,0.58,0.48,0.42,0.48,0.32,0.68,0.4,0.58
happy memories that make you cry,0.65,0.55,0.38,0.52,0.4,0.75,0.35,0.62
nostalgic ache longing for past,0.6,0.45,0.4,0.45,0.35,0.72,0.38,0.6
bittersweet nostalgia,0.58,0.48,0.42,0.48,0.32,0.68,0.4,0.58
happy memories that make you cry,0.65,0.55,0.38,0.52,0.4,0.75,0.35,0.62
nostalgic ache longing for past,0.6,0.45,0.4,0.45,0.35,0.72,0.38,0.6
bittersweet nostalgia,0.58,0.48,0.42,0.48,0.32,0.68,0.4,0.58
happy memories that make you cry,0.65,0.55,0.38,0.52,0.4,0.75,0.35,0.62
nostalgic ache longing for past,0.6,0.45,0.4,0.45,0.35,0.72,0.38,0.6
bittersweet nostalgia,0.58,0.48,0.42,0.48,0.32,0.68,0.4,0.58
happy memories that make you cry,0.65,0.55,0.38,0.52,0.4,0.75,0.35,0.62
nostalgic ache longing for past,0.6,0.45,0.4,0.45,0.35,0.72,0.38,0.6
bittersweet nostalgia,0.58,0.48,0.42,0.48,0.32,0.68,0.4,0.58
happy memories that make you cry,0.65,0.55,0.38,0.52,0.4,0.75,0.35,0.62
nostalgic ache longing for past,0.6,0.45,0.4,0.45,0.35,0.72,0.38,0.6
bittersweet nostalgia,0.58,0.48,0.42,0.48,0.32,0.68,0.4,0.58
happy memories that make you cry,0.65,0.55,0.38,0.52,0.4,0.75,0.35,0.62
nostalgic ache longing for past,0.6,0.45,0.4,0.45,0.35,0.72,0.38,0.6
bittersweet nostalgia,0.58,0.48,0.42,0.48,0.32,0.68,0.4,0.58
happy memories that make you cry,0.65,0.55,0.38,0.52,0.4,0.75,0.35,0.62
nostalgic ache longing for past,0.6,0.45,0.4,0.45,0.35,0.72,0.38,0.6
joyful tears,0.7,0.58,0.35,0.68,0.55,0.75,0.35,0.68
melancholy happiness,0.62,0.5,0.4,0.55,0.3,0.7,0.38,0.6
sweet sorrow,0.58,0.48,0.38,0.5,0.35,0.72,0.4,0.58
beautiful sadness,0.55,0.52,0.4,0.42,0.32,0.75,0.42,0.55
warmth of grief,0.62,0.38,0.45,0.38,0.35,0.78,0.42,0.6
comforting melancholy,0.65,0.4,0.42,0.52,0.25,0.65,0.4,0.62
gentle heartbreak,0.55,0.45,0.35,0.35,0.28,0.72,0.38,0.55
tender grief,0.6,0.42,0.38,0.38,0.28,0.75,0.4,0.58
nostalgic for a time you never lived,0.58,0.52,0.45,0.5,0.3,0.68,0.48,0.55
anemoia longing for unlived past,0.55,0.5,0.48,0.48,0.28,0.7,0.5,0.52
homesick for a place you've never been,0.6,0.48,0.42,0.48,0.32,0.72,0.45,0.58
nostalgic for a time you never lived,0.58,0.52,0.45,0.5,0.3,0.68,0.48,0.55
anemoia longing for unlived past,0.55,0.5,0.48,0.48,0.28,0.7,0.5,0.52
homesick for a place you've never been,0.6,0.48,0.42,0.48,0.32,0.72,0.45,0.58
nostalgic for a time you never lived,0.58,0.52,0.45,0.5,0.3,0.68,0.48,0.55
anemoia longing for unlived past,0.55,0.5,0.48,0.48,0.28,0.7,0.5,0.52
homesick for a place you've never been,0.6,0.48,0.42,0.48,0.32,0.72,0.45,0.58
nostalgic for a time you never lived,0.58,0.52,0.45,0.5,0.3,0.68,0.48,0.55
anemoia longing for unlived past,0.55,0.5,0.48,0.48,0.28,0.7,0.5,0.52
homesick for a place you've never been,0.6,0.48,0.42,0.48,0.32,0.72,0.45,0.58
nostalgic for a time you never lived,0.58,0.52,0.45,0.5,0.3,0.68,0.48,0.55
anemoia longing for unlived past,0.55,0.5,0.48,0.48,0.28,0.7,0.5,0.52
homesick for a place you've never been,0.6,0.48,0.42,0.48,0.32,0.72,0.45,0.58
nostalgic for a time you never lived,0.58,0.52,0.45,0.5,0.3,0.68,0.48,0.55
anemoia longing for unlived past,0.55,0.5,0.48,0.48,0.28,0.7,0.5,0.52
homesick for a place you've never been,0.6,0.48,0.42,0.48,0.32,0.72,0.45,0.58
missing memories you never made,0.55,0.45,0.45,0.45,0.3,0.7,0.48,0.55
yearning for imagined past,0.58,0.5,0.42,0.5,0.32,0.68,0.45,0.58
false nostalgia warm longing,0.6,0.52,0.4,0.52,0.28,0.65,0.42,0.6
cold fire burning slowly,0.42,0.55,0.55,0.48,0.5,0.68,0.5,0.45
ice that burns,0.25,0.62,0.52,0.42,0.55,0.72,0.55,0.3
frozen flame,0.3,0.58,0.5,0.45,0.48,0.7,0.52,0.35
cold fire burning slowly,0.42,0.55,0.55,0.48,0.5,0.68,0.5,0.45
ice that burns,0.25,0.62,0.52,0.42,0.55,0.72,0.55,0.3
frozen flame,0.3,0.58,0.5,0.45,0.48,0.7,0.52,0.35
cold fire burning slowly,0.42,0.55,0.55,0.48,0.5,0.68,0.5,0.45
ice that burns,0.25,0.62,0.52,0.42,0.55,0.72,0.55,0.3
frozen flame,0.3,0.58,0.5,0.45,0.48,0.7,0.52,0.35
cold fire burning slowly,0.42,0.55,0.55,0.48,0.5,0.68,0.5,0.45
ice that burns,0.25,0.62,0.52,0.42,0.55,0.72,0.55,0.3
frozen flame,0.3,0.58,0.5,0.45,0.48,0.7,0.52,0.35
cold fire burning slowly,0.42,0.55,0.55,0.48,0.5,0.68,0.5,0.45
ice that burns,0.25,0.62,0.52,0.42,0.55,0.72,0.55,0.3
frozen flame,0.3,0.58,0.5,0.45,0.48,0.7,0.52,0.35
cold fire burning slowly,0.42,0.55,0.55,0.48,0.5,0.68,0.5,0.45
ice that burns,0.25,0.62,0.52,0.42,0.55,0.72,0.55,0.3
frozen flame,0.3,0.58,0.5,0.45,0.48,0.7,0.52,0.35
cold fire burning slowly,0.42,0.55,0.55,0.48,0.5,0.68,0.5,0.45
ice that burns,0.25,0.62,0.52,0.42,0.55,0.72,0.55,0.3
frozen flame,0.3,0.58,0.5,0.45,0.48,0.7,0.52,0.35
cold fire burning slowly,0.42,0.55,0.55,0.48,0.5,0.68,0.5,0.45
ice that burns,0.25,0.62,0.52,0.42,0.55,0.72,0.55,0.3
frozen flame,0.3,0.58,0.5,0.45,0.48,0.7,0.52,0.35
burning cold,0.28,0.55,0.55,0.4,0.58,0.75,0.52,0.32
warm ice,0.55,0.6,0.45,0.55,0.35,0.6,0.48,0.5
freezing heat,0.35,0.58,0.52,0.42,0.55,0.72,0.5,0.38
hot snow falling,0.45,0.65,0.48,0.5,0.45,0.68,0.45,0.48
chilling warmth,0.55,0.5,0.48,0.5,0.4,0.65,0.48,0.52
somber and macabre while still cozy dark academia,0.55,0.28,0.55,0.55,0.35,0.7,0.58,0.52
dark academia cozy gothic scholarly,0.52,0.25,0.52,0.58,0.32,0.68,0.6,0.5
candle-lit library gothic cozy intellectual,0.6,0.22,0.48,0.62,0.28,0.65,0.55,0.58
somber and macabre while still cozy dark academia,0.55,0.28,0.55,0.55,0.35,0.7,0.58,0.52
dark academia cozy gothic scholarly,0.52,0.25,0.52,0.58,0.32,0.68,0.6,0.5
candle-lit library gothic cozy intellectual,0.6,0.22,0.48,0.62,0.28,0.65,0.55,0.58
somber and macabre while still cozy dark academia,0.55,0.28,0.55,0.55,0.35,0.7,0.58,0.52
dark academia cozy gothic scholarly,0.52,0.25,0.52,0.58,0.32,0.68,0.6,0.5
candle-lit library gothic cozy intellectual,0.6,0.22,0.48,0.62,0.28,0.65,0.55,0.58
somber and macabre while still cozy dark academia,0.55,0.28,0.55,0.55,0.35,0.7,0.58,0.52
dark academia cozy gothic scholarly,0.52,0.25,0.52,0.58,0.32,0.68,0.6,0.5
candle-lit library gothic cozy intellectual,0.6,0.22,0.48,0.62,0.28,0.65,0.55,0.58
somber and macabre while still cozy dark academia,0.55,0.28,0.55,0.55,0.35,0.7,0.58,0.52
dark academia cozy gothic scholarly,0.52,0.25,0.52,0.58,0.32,0.68,0.6,0.5
candle-lit library gothic cozy intellectual,0.6,0.22,0.48,0.62,0.28,0.65,0.55,0.58
somber and macabre while still cozy dark academia,0.55,0.28,0.55,0.55,0.35,0.7,0.58,0.52
dark academia cozy gothic scholarly,0.52,0.25,0.52,0.58,0.32,0.68,0.6,0.5
candle-lit library gothic cozy intellectual,0.6,0.22,0.48,0.62,0.28,0.65,0.55,0.58
somber and macabre while still cozy dark academia,0.55,0.28,0.55,0.55,0.35,0.7,0.58,0.52
dark academia cozy gothic scholarly,0.52,0.25,0.52,0.58,0.32,0.68,0.6,0.5
candle-lit library gothic cozy intellectual,0.6,0.22,0.48,0.62,0.28,0.65,0.55,0.58
somber and macabre while still cozy dark academia,0.55,0.28,0.55,0.55,0.35,0.7,0.58,0.52
dark academia cozy gothic scholarly,0.52,0.25,0.52,0.58,0.32,0.68,0.6,0.5
candle-lit library gothic cozy intellectual,0.6,0.22,0.48,0.62,0.28,0.65,0.55,0.58
Dead Poets Society rainy melancholy beauty,0.55,0.32,0.45,0.55,0.35,0.7,0.52,0.55
foggy campus gothic romance scholarly,0.5,0.3,0.5,0.58,0.32,0.68,0.58,0.48
tweed and candlelight old books death poetry,0.55,0.25,0.52,0.55,0.3,0.72,0.55,0.55
ivy-covered walls ancient knowledge melancholy,0.52,0.35,0.55,0.55,0.28,0.68,0.55,0.52
vintage blazer coffee stains rainy afternoon grief,0.55,0.32,0.48,0.48,0.32,0.7,0.5,0.55
scholarly darkness romantic decay,0.48,0.25,0.55,0.52,0.3,0.72,0.58,0.48
familiar yet wrong uncanny space,0.45,0.52,0.5,0.38,0.42,0.75,0.7,0.45
empty but not alone liminal hallway,0.4,0.55,0.48,0.35,0.48,0.78,0.75,0.42
nostalgic yet never been here before,0.52,0.5,0.45,0.45,0.38,0.72,0.65,0.5
familiar yet wrong uncanny space,0.45,0.52,0.5,0.38,0.42,0.75,0.7,0.45
empty but not alone liminal hallway,0.4,0.55,0.48,0.35,0.48,0.78,0.75,0.42
nostalgic yet never been here before,0.52,0.5,0.45,0.45,0.38,0.72,0.65,0.5
familiar yet wrong uncanny space,0.45,0.52,0.5,0.38,0.42,0.75,0.7,0.45
empty but not alone liminal hallway,0.4,0.55,0.48,0.35,0.48,0.78,0.75,0.42
nostalgic yet never been here before,0.52,0.5,0.45,0.45,0.38,0.72,0.65,0.5
familiar yet wrong uncanny space,0.45,0.52,0.5,0.38,0.42,0.75,0.7,0.45
empty but not alone liminal hallway,0.4,0.55,0.48,0.35,0.48,0.78,0.75,0.42
nostalgic yet never been here before,0.52,0.5,0.45,0.45,0.38,0.72,0.65,0.5
familiar yet wrong uncanny space,0.45,0.52,0.5,0.38,0.42,0.75,0.7,0.45
empty but not alone liminal hallway,0.4,0.55,0.48,0.35,0.48,0.78,0.75,0.42
nostalgic yet never been here before,0.52,0.5,0.45,0.45,0.38,0.72,0.65,0.5
familiar yet wrong uncanny space,0.45,0.52,0.5,0.38,0.42,0.75,0.7,0.45
empty but not alone liminal hallway,0.4,0.55,0.48,0.35,0.48,0.78,0.75,0.42
nostalgic yet never been here before,0.52,0.5,0.45,0.45,0.38,0.72,0.65,0.5
familiar yet wrong uncanny space,0.45,0.52,0.5,0.38,0.42,0.75,0.7,0.45
empty but not alone liminal hallway,0.4,0.55,0.48,0.35,0.48,0.78,0.75,0.42
nostalgic yet never been here before,0.52,0.5,0.45,0.45,0.38,0.72,0.65,0.5
familiar yet wrong uncanny space,0.45,0.52,0.5,0.38,0.42,0.75,0.7,0.45
empty but not alone liminal hallway,0.4,0.55,0.48,0.35,0.48,0.78,0.75,0.42
nostalgic yet never been here before,0.52,0.5,0.45,0.45,0.38,0.72,0.65,0.5
comfortable discomfort liminal,0.5,0.52,0.48,0.48,0.4,0.68,0.68,0.48
safe yet threatening poolrooms,0.45,0.58,0.45,0.42,0.45,0.75,0.72,0.45
peaceful dread empty mall,0.42,0.55,0.45,0.4,0.35,0.72,0.7,0.45
welcoming void,0.48,0.5,0.42,0.45,0.35,0.7,0.65,0.48
inviting emptiness,0.5,0.55,0.4,0.48,0.32,0.68,0.68,0.5
hostile familiarity,0.42,0.52,0.52,0.35,0.5,0.78,0.7,0.42
calm intensity,0.52,0.5,0.45,0.55,0.25,0.78,0.5,0.52
peaceful chaos,0.55,0.55,0.55,0.58,0.35,0.75,0.45,0.55
serene violence,0.45,0.55,0.65,0.4,0.28,0.85,0.55,0.45
calm intensity,0.52,0.5,0.45,0.55,0.25,0.78,0.5,0.52
peaceful chaos,0.55,0.55,0.55,0.58,0.35,0.75,0.45,0.55
serene violence,0.45,0.55,0.65,0.4,0.28,0.85,0.55,0.45
calm intensity,0.52,0.5,0.45,0.55,0.25,0.78,0.5,0.52
peaceful chaos,0.55,0.55,0.55,0.58,0.35,0.75,0.45,0.55
serene violence,0.45,0.55,0.65,0.4,0.28,0.85,0.55,0.45
calm intensity,0.52,0.5,0.45,0.55,0.25,0.78,0.5,0.52
peaceful chaos,0.55,0.55,0.55,0.58,0.35,0.75,0.45,0.55
serene violence,0.45,0.55,0.65,0.4,0.28,0.85,0.55,0.45
calm intensity,0.52,0.5,0.45,0.55,0.25,0.78,0.5,0.52
peaceful chaos,0.55,0.55,0.55,0.58,0.35,0.75,0.45,0.55
serene violence,0.45,0.55,0.65,0.4,0.28,0.85,0.55,0.45
calm intensity,0.52,0.5,0.45,0.55,0.25,0.78,0.5,0.52
peaceful chaos,0.55,0.55,0.55,0.58,0.35,0.75,0.45,0.55
serene violence,0.45,0.55,0.65,0.4,0.28,0.85,0.55,0.45
tranquil storm,0.5,0.45,0.55,0.52,0.3,0.78,0.48,0.5
gentle apocalypse,0.52,0.52,0.58,0.45,0.28,0.82,0.5,0.52
quiet catastrophe,0.48,0.45,0.6,0.38,0.22,0.85,0.55,0.48
soft devastation,0.55,0.48,0.55,0.42,0.25,0.8,0.48,0.55
meditative destruction,0.52,0.5,0.62,0.45,0.15,0.82,0.52,0.52
bright darkness,0.48,0.55,0.5,0.45,0.45,0.72,0.55,0.48
luminous shadow,0.5,0.58,0.45,0.5,0.4,0.7,0.52,0.5
glowing darkness,0.45,0.52,0.48,0.48,0.42,0.72,0.55,0.48
bright darkness,0.48,0.55,0.5,0.45,0.45,0.72,0.55,0.48
luminous shadow,0.5,0.58,0.45,0.5,0.4,0.7,0.52,0.5
glowing darkness,0.45,0.52,0.48,0.48,0.42,0.72,0.55,0.48
bright darkness,0.48,0.55,0.5,0.45,0.45,0.72,0.55,0.48
luminous shadow,0.5,0.58,0.45,0.5,0.4,0.7,0.52,0.5
glowing darkness,0.45,0.52,0.48,0.48,0.42,0.72,0.55,0.48
bright darkness,0.48,0.55,0.5,0.45,0.45,0.72,0.55,0.48
luminous shadow,0.5,0.58,0.45,0.5,0.4,0.7,0.52,0.5
glowing darkness,0.45,0.52,0.48,0.48,0.42,0.72,0.55,0.48
bright darkness,0.48,0.55,0.5,0.45,0.45,0.72,0.55,0.48
luminous shadow,0.5,0.58,0.45,0.5,0.4,0.7,0.52,0.5
glowing darkness,0.45,0.52,0.48,0.48,0.42,0.72,0.55,0.48
bright darkness,0.48,0.55,0.5,0.45,0.45,0.72,0.55,0.48
luminous shadow,0.5,0.58,0.45,0.5,0.4,0.7,0.52,0.5
glowing darkness,0.45,0.52,0.48,0.48,0.42,0.72,0.55,0.48
dark radiance,0.48,0.55,0.5,0.48,0.45,0.75,0.55,0.5
shadowy brilliance,0.5,0.58,0.48,0.5,0.42,0.72,0.52,0.5
black light aesthetic,0.42,0.6,0.52,0.48,0.55,0.75,0.58,0.45
cottagecore meets dark academia rainy garden books,0.68,0.38,0.48,0.7,0.3,0.65,0.42,0.65
goblincore dark academia moss and manuscripts,0.55,0.32,0.65,0.58,0.35,0.68,0.45,0.52
soft grunge meets cottagecore flowers and ripped jeans,0.62,0.48,0.58,0.6,0.4,0.65,0.4,0.58
cottagecore meets dark academia rainy garden books,0.68,0.38,0.48,0.7,0.3,0.65,0.42,0.65
goblincore dark academia moss and manuscripts,0.55,0.32,0.65,0.58,0.35,0.68,0.45,0.52
soft grunge meets cottagecore flowers and ripped jeans,0.62,0.48,0.58,0.6,0.4,0.65,0.4,0.58
cottagecore meets dark academia rainy garden books,0.68,0.38,0.48,0.7,0.3,0.65,0.42,0.65
goblincore dark academia moss and manuscripts,0.55,0.32,0.65,0.58,0.35,0.68,0.45,0.52
soft grunge meets cottagecore flowers and ripped jeans,0.62,0.48,0.58,0.6,0.4,0.65,0.4,0.58
cottagecore meets dark academia rainy garden books,0.68,0.38,0.48,0.7,0.3,0.65,0.42,0.65
goblincore dark academia moss and manuscripts,0.55,0.32,0.65,0.58,0.35,0.68,0.45,0.52
soft grunge meets cottagecore flowers and ripped jeans,0.62,0.48,0.58,0.6,0.4,0.65,0.4,0.58
cottagecore meets dark academia rainy garden books,0.68,0.38,0.48,0.7,0.3,0.65,0.42,0.65
goblincore dark academia moss and manuscripts,0.55,0.32,0.65,0.58,0.35,0.68,0.45,0.52
soft grunge meets cottagecore flowers and ripped jeans,0.62,0.48,0.58,0.6,0.4,0.65,0.4,0.58
cottagecore meets dark academia rainy garden books,0.68,0.38,0.48,0.7,0.3,0.65,0.42,0.65
goblincore dark academia moss and manuscripts,0.55,0.32,0.65,0.58,0.35,0.68,0.45,0.52
soft grunge meets cottagecore flowers and ripped jeans,0.62,0.48,0.58,0.6,0.4,0.65,0.4,0.58
dark cottagecore witch aesthetic herbs and shadows,0.62,0.3,0.55,0.6,0.35,0.72,0.4,0.6
pastel goth soft darkness,0.52,0.55,0.42,0.55,0.4,0.68,0.5,0.52
light academia with gothic undertones,0.6,0.58,0.45,0.62,0.35,0.65,0.55,0.58
romantic apocalypse aesthetic flowers in ruins,0.58,0.52,0.58,0.5,0.4,0.75,0.48,0.58
cozy brutalism warm concrete,0.6,0.45,0.72,0.55,0.32,0.65,0.85,0.55
soft cyberpunk pastel neon,0.5,0.72,0.45,0.55,0.55,0.7,0.72,0.52
the last day of summer knowing autumn comes,0.62,0.65,0.42,0.48,0.35,0.68,0.4,0.65
final sunset before the end,0.65,0.68,0.45,0.45,0.4,0.75,0.42,0.7
last dance before goodbye,0.62,0.55,0.4,0.5,0.55,0.72,0.38,0.62
the last day of summer knowing autumn comes,0.62,0.65,0.42,0.48,0.35,0.68,0.4,0.65
final sunset before the end,0.65,0.68,0.45,0.45,0.4,0.75,0.42,0.7
last dance before goodbye,0.62,0.55,0.4,0.5,0.55,0.72,0.38,0.62
the last day of summer knowing autumn comes,0.62,0.65,0.42,0.48,0.35,0.68,0.4,0.65
final sunset before the end,0.65,0.68,0.45,0.45,0.4,0.75,0.42,0.7
last dance before goodbye,0.62,0.55,0.4,0.5,0.55,0.72,0.38,0.62
the last day of summer knowing autumn comes,0.62,0.65,0.42,0.48,0.35,0.68,0.4,0.65
final sunset before the end,0.65,0.68,0.45,0.45,0.4,0.75,0.42,0.7
last dance before goodbye,0.62,0.55,0.4,0.5,0.55,0.72,0.38,0.62
the last day of summer knowing autumn comes,0.62,0.65,0.42,0.48,0.35,0.68,0.4,0.65
final sunset before the end,0.65,0.68,0.45,0.45,0.4,0.75,0.42,0.7
last dance before goodbye,0.62,0.55,0.4,0.5,0.55,0.72,0.38,0.62
the last day of summer knowing autumn comes,0.62,0.65,0.42,0.48,0.35,0.68,0.4,0.65
final sunset before the end,0.65,0.68,0.45,0.45,0.4,0.75,0.42,0.7
last dance before goodbye,0.62,0.55,0.4,0.5,0.55,0.72,0.38,0.62
beautiful ending,0.58,0.6,0.42,0.5,0.38,0.7,0.42,0.6
gorgeous finale,0.6,0.65,0.45,0.55,0.5,0.72,0.45,0.62
warm goodbye,0.7,0.55,0.38,0.55,0.35,0.65,0.38,0.7
tender ending,0.65,0.5,0.38,0.52,0.3,0.68,0.4,0.65
laughing at a funeral because you can't cry,0.45,0.45,0.52,0.35,0.55,0.85,0.5,0.48
crying from happiness,0.7,0.58,0.38,0.75,0.55,0.72,0.38,0.68
smiling through tears,0.62,0.52,0.4,0.58,0.48,0.72,0.42,0.6
laughing at a funeral because you can't cry,0.45,0.45,0.52,0.35,0.55,0.85,0.5,0.48
crying from happiness,0.7,0.58,0.38,0.75,0.55,0.72,0.38,0.68
smiling through tears,0.62,0.52,0.4,0.58,0.48,0.72,0.42,0.6
laughing at a funeral because you can't cry,0.45,0.45,0.52,0.35,0.55,0.85,0.5,0.48
crying from happiness,0.7,0.58,0.38,0.75,0.55,0.72,0.38,0.68
smiling through tears,0.62,0.52,0.4,0.58,0.48,0.72,0.42,0.6
laughing at a funeral because you can't cry,0.45,0.45,0.52,0.35,0.55,0.85,0.5,0.48
crying from happiness,0.7,0.58,0.38,0.75,0.55,0.72,0.38,0.68
smiling through tears,0.62,0.52,0.4,0.58,0.48,0.72,0.42,0.6
laughing at a funeral because you can't cry,0.45,0.45,0.52,0.35,0.55,0.85,0.5,0.48
crying from happiness,0.7,0.58,0.38,0.75,0.55,0.72,0.38,0.68
smiling through tears,0.62,0.52,0.4,0.58,0.48,0.72,0.42,0.6
angry peace,0.42,0.5,0.58,0.42,0.35,0.78,0.55,0.45
furious calm,0.4,0.48,0.55,0.38,0.28,0.82,0.55,0.42
loving rage,0.55,0.52,0.6,0.48,0.65,0.85,0.52,0.55
tender anger,0.55,0.5,0.55,0.45,0.55,0.78,0.5,0.55
nostalgic futurism retro tomorrow,0.52,0.62,0.45,0.55,0.42,0.68,0.65,0.55
dead mall alive with ghosts,0.42,0.52,0.5,0.42,0.38,0.72,0.7,0.45
