text,warmth,brightness,texture,valence,arousal,intensity,geometry,color_temperature
A sense of serene japanese garden with raked sand and carefully placed stones,0.557,0.564,0.479,0.768,0.073,0.207,0.809,0.486
The atmosphere of coarse burlap sack rough and warm in barn,0.605,0.396,0.833,0.467,0.233,0.545,0.451,0.595
Surrounded by enchanted forest with soft glowing mushrooms in darkness,0.46,0.26,0.431,0.683,0.182,0.541,0.206,0.541
Surrounded by autumn harvest with orange pumpkins and red leaves,0.532,0.641,0.543,0.815,0.398,0.533,0.328,0.83
A sense of bustling night market with colorful lights and sizzling food stalls,0.706,0.671,0.569,0.799,0.777,0.675,0.486,0.63
A sense of baroque explosion of ornate golden curves and angels,0.609,0.574,0.678,0.642,0.529,0.805,0.339,0.858
Like ethereal ambient soundscape with soft pads and gentle textures,0.539,0.402,0.31,0.692,0.078,0.219,0.369,0.469
A sense of arctic ice cave with blue frozen walls,0.02,0.501,0.53,0.566,0.521,0.513,0.733,0.074
Smooth warm polished mahogany in golden lamplight,0.72,0.48,0.12,0.72,0.22,0.5,0.58,0.72
Surrounded by smooth warm polished mahogany in golden lamplight,0.685,0.511,0.083,0.746,0.174,0.515,0.588,0.768
Quiet piano practice in cold empty concert hall,0.32,0.55,0.22,0.55,0.18,0.28,0.82,0.5
Immersed in old leather book with cracked textured cover,0.624,0.319,0.821,0.572,0.253,0.486,0.558,0.576
A sense of ethereal ambient soundscape with soft pads and gentle textures,0.597,0.389,0.278,0.634,0.086,0.164,0.357,0.493
Dark swamp with murky water and twisted dead trees,0.38,0.18,0.75,0.18,0.35,0.52,0.12,0.5
Between rough chaotic organic and smooth precise geometric at 55%,0.5,0.5,0.455,0.5,0.5,0.5,0.545,0.5
The atmosphere of cool lavender fields under soft purple twilight sky,0.489,0.39,0.433,0.711,0.18,0.45,0.39,0.386
Far from exciting - actually very boring and dull,0.5,0.4,0.5,0.35,0.1,0.15,0.5,0.5
Like paralyzing fear in cold dark basement alone,0.15,0.07,0.627,0.071,0.824,0.806,0.507,0.547
A sense of paralyzing fear in cold dark basement alone,0.182,0.067,0.581,0.035,0.864,0.822,0.551,0.503
Like soft cloud formations shapeless and ever-changing,0.519,0.752,0.228,0.693,0.193,0.212,0.123,0.525
Immersed in wild overgrown garden with chaotic flowers and tangled paths,0.667,0.606,0.702,0.665,0.368,0.508,0.183,0.644
Immersed in bright spring forest with fresh green leaves and birdsong,0.594,0.796,0.473,0.85,0.485,0.459,0.239,0.56
Surrounded by calm acceptance of peaceful inevitable ending,0.491,0.465,0.387,0.517,0.069,0.359,0.433,0.507
Like aggressive punk show in sweaty basement,0.726,0.249,0.748,0.611,0.938,0.903,0.326,0.491
The feeling of pure blissful joy overwhelming the senses with warmth and light,0.806,0.873,0.22,0.964,0.694,0.792,0.535,0.799
A sense of fiery red lava flowing bright and destructive,0.967,0.862,0.542,0.354,0.812,0.958,0.498,0.98
Like flowing organic gaudi architecture with soft curves,0.574,0.624,0.556,0.672,0.425,0.47,0.17,0.614
Immersed in anxious dread building as shadows lengthen,0.301,0.206,0.595,0.195,0.682,0.727,0.432,0.477
Like perfect rainbow after rain with fresh clean air,0.516,0.678,0.45,0.884,0.447,0.588,0.335,0.527
The atmosphere of rocky coastline with cold spray and rough jagged cliffs,0.245,0.495,0.946,0.413,0.511,0.638,0.339,0.473
Modern art museum with white walls and dramatic spotlights,0.42,0.78,0.12,0.62,0.28,0.55,0.88,0.5
The feeling of splattered paint chaotic random abstract,0.503,0.581,0.774,0.555,0.605,0.637,0.122,0.61
Surrounded by gritty urban concrete covered in peeling graffiti,0.372,0.46,0.777,0.354,0.407,0.529,0.697,0.514
Serene Japanese garden with raked sand and carefully placed stones,0.52,0.58,0.48,0.78,0.12,0.22,0.78,0.5
Immersed in pure blissful joy overwhelming the senses with warmth and light,0.801,0.87,0.211,0.948,0.768,0.774,0.497,0.776
Autumn forest ablaze with red orange and gold falling leaves,0.58,0.62,0.55,0.72,0.32,0.5,0.22,0.82
Like haunting orchestral minor key with deep strings and silence,0.238,0.23,0.421,0.214,0.339,0.7,0.528,0.326
A sense of rooftop bar at sunset with warm orange light and city views,0.695,0.529,0.489,0.788,0.505,0.514,0.695,0.852
Immersed in precise art deco architecture with golden angles and lines,0.551,0.641,0.337,0.686,0.378,0.48,0.883,0.804
The feeling of rough cold granite boulders under grey overcast sky,0.289,0.442,0.876,0.435,0.235,0.473,0.58,0.414
Surrounded by peaceful bamboo grove with geometric stalks and dappled light,0.498,0.534,0.461,0.744,0.11,0.453,0.712,0.45
Between rough chaotic organic and smooth precise geometric at 45%,0.5,0.5,0.545,0.5,0.5,0.5,0.455,0.5
The feeling of cozy warm cafe with wooden tables and soft golden lamplight,0.81,0.43,0.549,0.779,0.286,0.53,0.548,0.741
Between rough chaotic organic and smooth precise geometric at 85%,0.5,0.5,0.185,0.5,0.5,0.5,0.815,0.5
Immersed in wild tangled roots and vines in dark jungle floor,0.684,0.201,0.83,0.396,0.384,0.503,0.111,0.491
Flowing organic Gaudi architecture with soft curves,0.62,0.58,0.52,0.72,0.38,0.5,0.15,0.58
A sense of hazy summer afternoon with thick humid air and bright haze,0.736,0.634,0.314,0.556,0.294,0.52,0.501,0.765
Immersed in blazing tropical noon on white sand beach with turquoise water,0.967,0.98,0.252,0.757,0.327,0.549,0.269,0.39
This is: Not warm colors - very cool blue and purple tones,0.28,0.483,0.511,0.543,0.477,0.484,0.485,0.129
A sense of warm amber streetlights on wet autumn pavement,0.6,0.439,0.511,0.564,0.238,0.467,0.671,0.806
The atmosphere of wild meadow with flowers growing randomly,0.615,0.736,0.568,0.793,0.397,0.544,0.109,0.663
Like bustling night market with colorful lights and sizzling food stalls,0.788,0.685,0.586,0.798,0.788,0.733,0.528,0.692
"Feeling like: Neither hot nor cold, neither bright nor dark - just neutral grey everything",0.524,0.503,0.516,0.465,0.286,0.272,0.523,0.485
The atmosphere of dense jungle with humid heat and chaotic tangled vines,0.854,0.309,0.902,0.457,0.481,0.623,0.087,0.462
Precise Art Deco architecture with golden angles and lines,0.58,0.65,0.35,0.68,0.35,0.5,0.92,0.78
Immersed in overwhelming grief at funeral on cold grey rainy day,0.219,0.249,0.547,0.066,0.415,0.922,0.454,0.319
Definitely not bright - very dark and somewhat cold,0.35,0.1,0.5,0.4,0.2,0.5,0.5,0.5
Ethereal ambient soundscape with soft pads and gentle textures,0.55,0.42,0.28,0.68,0.12,0.18,0.35,0.5
The feeling of triumphant victory celebration with bright lights and cheering,0.677,0.825,0.542,0.971,0.91,0.906,0.591,0.758
The atmosphere of empty abandoned warehouse with rusty beams and broken windows,0.271,0.284,0.846,0.156,0.178,0.34,0.615,0.53
Surrounded by burning rage about to explode with hot red anger,0.849,0.501,0.698,0.07,0.905,0.976,0.522,0.954
Clear mountain morning with cold fresh air and bright sun,0.28,0.88,0.35,0.82,0.42,0.45,0.5,0.55
A sense of bright spring forest with fresh green leaves and birdsong,0.624,0.729,0.427,0.883,0.482,0.481,0.254,0.541
Like rosy pink cherry blossoms soft and delicate,0.515,0.753,0.191,0.859,0.323,0.473,0.312,0.737
The atmosphere of warm golden honey dripping slow and viscous,0.685,0.593,0.392,0.681,0.182,0.457,0.23,0.867
Experiencing serene japanese garden with raked sand and carefully placed stones,0.492,0.569,0.467,0.746,0.135,0.233,0.812,0.541
Surrounded by warm amber streetlights on wet autumn pavement,0.535,0.456,0.5,0.55,0.297,0.508,0.61,0.761
Between cool blue tones and warm orange tones at 30%,0.38,0.5,0.5,0.5,0.5,0.5,0.5,0.34
Fiery red lava flowing bright and destructive,0.95,0.82,0.58,0.38,0.78,0.92,0.5,0.95
Smooth jazz in dimly lit lounge with warm wooden decor,0.72,0.28,0.42,0.75,0.28,0.32,0.5,0.68
Experiencing modern art museum with white walls and dramatic spotlights,0.466,0.808,0.146,0.665,0.312,0.54,0.904,0.453
The atmosphere of exhilarating rush of extreme sports adventure,0.495,0.73,0.503,0.753,0.908,0.964,0.387,0.532
Immersed in humid tropical night with warm rain and distant thunder,0.74,0.125,0.507,0.59,0.383,0.53,0.467,0.66
Warm amber streetlights on wet autumn pavement,0.58,0.42,0.55,0.55,0.28,0.5,0.65,0.78
A sense of scorching desert at high noon with blinding white sand,0.969,0.972,0.508,0.301,0.438,0.878,0.522,0.827
Experiencing explosive edm drop with massive bass and euphoric synths,0.611,0.777,0.492,0.858,0.956,0.98,0.806,0.645
Surrounded by honeycomb pattern perfect hexagonal precision,0.601,0.646,0.509,0.586,0.285,0.473,0.918,0.747
Violent thunderstorm with lightning and pounding rain,0.38,0.35,0.68,0.28,0.92,0.95,0.25,0.5
A sense of dark alley at night with single flickering streetlight,0.235,0.122,0.753,0.216,0.463,0.561,0.667,0.48
Like wild meadow with flowers growing randomly,0.633,0.687,0.591,0.783,0.302,0.479,0.162,0.592
Underground subway platform with harsh lights and cold tiles,0.32,0.68,0.35,0.32,0.55,0.5,0.88,0.42
Immersed in crisp clear winter morning with frost and blue sky,0.2,0.886,0.452,0.66,0.434,0.51,0.546,0.252
A sense of smoky dive bar with sticky floors and dim red lights,0.518,0.167,0.702,0.459,0.523,0.52,0.307,0.705
Between cool blue tones and warm orange tones at 70%,0.62,0.5,0.5,0.5,0.5,0.5,0.5,0.66
Anxious dread building as shadows lengthen,0.32,0.22,0.55,0.18,0.72,0.68,0.42,0.5
The feeling of dark industrial noise with harsh metallic grinding,0.28,0.199,0.98,0.137,0.793,0.889,0.658,0.545
The feeling of peaceful serene meditation in warm soft candlelight,0.713,0.256,0.259,0.769,0.094,0.137,0.457,0.73
Dark industrial noise with harsh metallic grinding,0.25,0.18,0.95,0.18,0.78,0.88,0.68,0.5
Deep crushing despair in cold dark isolation,0.15,0.1,0.55,0.05,0.22,0.82,0.5,0.25
Between freezing dark and blazing bright at 30%,0.32,0.32,0.5,0.5,0.5,0.5,0.5,0.5
The feeling of modern gym with bright lights and shiny equipment,0.453,0.841,0.247,0.612,0.715,0.655,0.816,0.505
The atmosphere of cozy bookstore with wooden shelves and warm yellow lights,0.763,0.381,0.655,0.8,0.227,0.536,0.59,0.717
Immersed in gritty urban concrete covered in peeling graffiti,0.394,0.476,0.822,0.319,0.352,0.537,0.674,0.517
Feeling like: Not smooth - quite rough and jagged surface,0.423,0.5,0.862,0.416,0.516,0.509,0.372,0.481
Immersed in smoky dive bar with sticky floors and dim red lights,0.573,0.169,0.744,0.379,0.437,0.496,0.347,0.704
Experiencing: Not geometric at all - completely organic flowing chaotic forms,0.507,0.48,0.633,0.55,0.424,0.517,0.09,0.497
Crowded summer beach party with loud music and colorful umbrellas,0.82,0.85,0.5,0.85,0.88,0.78,0.45,0.72
Warm tide pool with smooth colorful pebbles and small fish,0.65,0.62,0.35,0.75,0.28,0.5,0.28,0.58
This is: Definitely not bright - very dark and somewhat cold,0.36,0.121,0.49,0.382,0.223,0.495,0.498,0.498
Soft acoustic guitar by warm firelight in quiet cabin,0.82,0.32,0.55,0.78,0.18,0.25,0.5,0.72
Experiencing autumn harvest with orange pumpkins and red leaves,0.57,0.628,0.586,0.738,0.394,0.519,0.339,0.862
Like overwhelming grief at funeral on cold grey rainy day,0.209,0.266,0.53,0.064,0.404,0.842,0.5,0.354
Anything but quiet - extremely loud and powerful,0.5,0.65,0.5,0.55,0.9,0.95,0.5,0.5
Experiencing: Not intense - very gentle subtle and soft,0.474,0.516,0.221,0.642,0.192,0.131,0.482,0.499
Between rough chaotic organic and smooth precise geometric at 15%,0.5,0.5,0.815,0.5,0.5,0.5,0.185,0.5
The feeling of thick fog making everything grey and dreamlike,0.375,0.288,0.311,0.486,0.178,0.137,0.276,0.507
Warm golden honey dripping slow and viscous,0.72,0.55,0.42,0.72,0.18,0.5,0.28,0.82
A sense of cozy bookstore with wooden shelves and warm yellow lights,0.789,0.415,0.64,0.776,0.172,0.518,0.516,0.761
Immersed in chaotic organic forms of coral reef in warm tropical water,0.735,0.503,0.717,0.691,0.428,0.545,0.083,0.39
A sense of icy blue glacier cave with frozen crystalline walls,0.049,0.589,0.48,0.52,0.466,0.513,0.892,0.057
Between depressed and lethargic and ecstatic and energized at 70%,0.5,0.5,0.5,0.68,0.68,0.5,0.5,0.5
The feeling of secluded cove with smooth rocks and crystal clear calm water,0.597,0.67,0.261,0.78,0.181,0.45,0.418,0.412
Beach bonfire at night with warm flames and dark surroundings,0.78,0.35,0.55,0.82,0.55,0.58,0.5,0.85
Surrounded by brutalist concrete fortress with harsh angular shadows,0.308,0.447,0.722,0.273,0.523,0.754,0.906,0.374
Dense jungle with humid heat and chaotic tangled vines,0.85,0.28,0.88,0.45,0.52,0.65,0.12,0.5
Chaotic construction site with dust and loud machinery,0.55,0.62,0.82,0.28,0.88,0.85,0.58,0.5
Experiencing hazy summer afternoon with thick humid air and bright haze,0.734,0.679,0.322,0.498,0.319,0.476,0.483,0.722
"This is: Neither hot nor cold, neither bright nor dark - just neutral grey everything",0.515,0.487,0.49,0.437,0.295,0.322,0.499,0.528
Like satin wedding dress smooth and flowing,0.529,0.807,0.109,0.826,0.493,0.503,0.377,0.58
The feeling of blazing tropical noon on white sand beach with turquoise water,0.884,0.931,0.25,0.781,0.328,0.549,0.275,0.391
Experiencing slick wet ice reflecting cold blue winter light,0.035,0.673,0.143,0.5,0.285,0.483,0.839,0.163
Dark alley at night with single flickering streetlight,0.28,0.15,0.72,0.22,0.48,0.55,0.62,0.5
Immersed in pounding techno in dark club with strobe lights and sweaty crowd,0.643,0.592,0.597,0.704,0.924,0.98,0.815,0.54
A sense of deep connection and love with another person,0.859,0.656,0.171,0.937,0.47,0.745,0.47,0.783
Like deserted foggy beach with grey sand and eerie silence,0.375,0.269,0.536,0.297,0.071,0.223,0.544,0.411
The feeling of underground parking garage with cold concrete and flickering lights,0.19,0.273,0.739,0.229,0.337,0.497,0.866,0.377
Harsh blizzard with howling wind and freezing snow,0.05,0.38,0.65,0.18,0.82,0.92,0.22,0.5
Like gentle spring rain with fresh green smell and soft patter,0.553,0.39,0.402,0.747,0.17,0.307,0.503,0.44
Deep connection and love with another person,0.88,0.62,0.22,0.95,0.45,0.72,0.5,0.78
Immersed in cool lavender fields under soft purple twilight sky,0.484,0.466,0.413,0.694,0.199,0.462,0.347,0.365
Experiencing sleek corporate lobby with marble floors and cold grey steel,0.285,0.757,0.203,0.423,0.315,0.467,0.889,0.344
The feeling of sterile white hospital corridor with harsh fluorescent lights,0.211,0.924,0.059,0.218,0.424,0.521,0.98,0.41
Surrounded by crisp starched white linen fresh and geometric,0.382,0.816,0.346,0.615,0.208,0.515,0.787,0.453
Feeling like: Far from exciting - actually very boring and dull,0.52,0.386,0.475,0.35,0.107,0.131,0.522,0.493
Empty abandoned warehouse with rusty beams and broken windows,0.28,0.32,0.88,0.18,0.15,0.38,0.65,0.5
The feeling of exhilarating rush of extreme sports adventure,0.492,0.752,0.589,0.817,0.98,0.915,0.456,0.505
Blazing orange sunset painting everything in warm glow,0.78,0.55,0.28,0.82,0.32,0.62,0.5,0.88
Old leather book with cracked textured cover,0.58,0.35,0.78,0.62,0.22,0.5,0.55,0.62
The feeling of dark alley at night with single flickering streetlight,0.297,0.148,0.714,0.231,0.458,0.541,0.634,0.475
The atmosphere of slick wet ice reflecting cold blue winter light,0.115,0.689,0.167,0.448,0.234,0.505,0.82,0.108
Feeling like: Anything but quiet - extremely loud and powerful,0.478,0.647,0.513,0.521,0.884,0.957,0.485,0.472
Satin wedding dress smooth and flowing,0.55,0.78,0.08,0.85,0.48,0.5,0.42,0.55
Sterile white hospital corridor with harsh fluorescent lights,0.25,0.92,0.08,0.22,0.38,0.5,0.95,0.45
Between freezing dark and blazing bright at 70%,0.68,0.68,0.5,0.5,0.5,0.5,0.5,0.5
A sense of flowing organic gaudi architecture with soft curves,0.619,0.6,0.475,0.68,0.378,0.458,0.135,0.617
Bright spring forest with fresh green leaves and birdsong,0.58,0.75,0.45,0.85,0.52,0.5,0.22,0.52
Experiencing: Not sad at all - genuinely happy and energetic,0.646,0.722,0.471,0.844,0.767,0.5,0.522,0.503
Not happy but not depressed - just neutral and calm,0.5,0.5,0.5,0.5,0.25,0.3,0.5,0.5
Feeling like: Not warm colors - very cool blue and purple tones,0.295,0.49,0.496,0.524,0.514,0.476,0.524,0.136
Immersed in modern art museum with white walls and dramatic spotlights,0.378,0.739,0.167,0.605,0.308,0.589,0.843,0.506
Experiencing wild tangled roots and vines in dark jungle floor,0.705,0.151,0.892,0.423,0.326,0.523,0.124,0.516
Experiencing rooftop bar at sunset with warm orange light and city views,0.674,0.517,0.511,0.799,0.5,0.474,0.72,0.77
The atmosphere of sunny outdoor farmers market with colorful produce,0.722,0.87,0.626,0.816,0.66,0.494,0.221,0.717
Funky disco beat with bright horns and groovy bass,0.72,0.78,0.5,0.88,0.82,0.72,0.62,0.72
This is: Not hot at all - actually quite cold and dim,0.126,0.23,0.484,0.458,0.254,0.503,0.48,0.512
Not cold but not warm either - neutral temperature in bright light,0.5,0.75,0.5,0.55,0.35,0.5,0.5,0.5
Like crowded summer beach party with loud music and colorful umbrellas,0.783,0.873,0.467,0.827,0.902,0.761,0.455,0.708
Experiencing windy beach with rough sand blowing and grey choppy waves,0.338,0.492,0.741,0.393,0.68,0.692,0.267,0.515
Immersed in velvet curtains deep red soft and luxurious,0.656,0.345,0.259,0.758,0.472,0.43,0.568,0.8
Coarse burlap sack rough and warm in barn,0.58,0.42,0.85,0.48,0.25,0.5,0.42,0.58
Corroded rusty metal rough and warm orange brown,0.55,0.38,0.92,0.28,0.5,0.48,0.58,0.75
Bark of ancient tree rough and deep,0.48,0.35,0.88,0.55,0.18,0.42,0.22,0.5
Immersed in baroque explosion of ornate golden curves and angels,0.615,0.59,0.749,0.704,0.498,0.744,0.295,0.86
The atmosphere of sterile white hospital corridor with harsh fluorescent lights,0.274,0.907,0.117,0.265,0.375,0.464,0.963,0.459
Surrounded by children's choir singing bright happy songs in sunlit church,0.666,0.747,0.453,0.909,0.591,0.569,0.688,0.6
Burning rage about to explode with hot red anger,0.88,0.55,0.68,0.08,0.95,0.95,0.5,0.92
Like slick wet ice reflecting cold blue winter light,0.047,0.724,0.112,0.49,0.286,0.502,0.8,0.142
Sunlit meadow with wildflowers and buzzing bees in warm breeze,0.75,0.85,0.45,0.88,0.42,0.5,0.25,0.72
Surrounded by beach bonfire at night with warm flames and dark surroundings,0.777,0.321,0.507,0.77,0.519,0.622,0.465,0.833
The atmosphere of underground parking garage with cold concrete and flickering lights,0.184,0.274,0.739,0.24,0.384,0.498,0.929,0.401
Tornado warning with dark green sky and eerie stillness,0.42,0.28,0.5,0.12,0.75,0.85,0.22,0.38
Calm acceptance of peaceful inevitable ending,0.52,0.42,0.35,0.55,0.08,0.35,0.48,0.5
The feeling of frozen winter forest with snow-covered pines and icy stillness,0.031,0.766,0.378,0.499,0.075,0.241,0.484,0.139
The atmosphere of tornado warning with dark green sky and eerie stillness,0.464,0.267,0.493,0.168,0.773,0.884,0.229,0.368
A sense of quiet library with tall dark wooden shelves and soft reading lamps,0.566,0.367,0.566,0.712,0.031,0.139,0.748,0.477
The feeling of underwater coral reef with purple and blue fish,0.408,0.538,0.654,0.671,0.429,0.544,0.215,0.268
Hazy summer afternoon with thick humid air and bright haze,0.78,0.68,0.35,0.52,0.28,0.48,0.5,0.72
Surrounded by scorching desert at high noon with blinding white sand,0.98,0.927,0.596,0.325,0.451,0.875,0.531,0.802
Surrounded by sunlit meadow with wildflowers and buzzing bees in warm breeze,0.746,0.832,0.42,0.857,0.431,0.472,0.247,0.748
Brutalist concrete fortress with harsh angular shadows,0.28,0.45,0.72,0.28,0.5,0.72,0.88,0.38
Between freezing dark and blazing bright at 15%,0.185,0.185,0.5,0.5,0.5,0.5,0.5,0.5
Experiencing clear mountain morning with cold fresh air and bright sun,0.236,0.876,0.32,0.806,0.45,0.417,0.528,0.518
Not geometric at all - completely organic flowing chaotic forms,0.5,0.5,0.65,0.55,0.45,0.5,0.08,0.5
Surrounded by satin wedding dress smooth and flowing,0.519,0.803,0.125,0.824,0.514,0.538,0.438,0.58
Like smooth jazz in dimly lit lounge with warm wooden decor,0.762,0.234,0.43,0.744,0.324,0.301,0.462,0.728
Feeling like: Not intense - very gentle subtle and soft,0.523,0.52,0.185,0.629,0.217,0.134,0.488,0.527
Between cool blue tones and warm orange tones at 45%,0.47,0.5,0.5,0.5,0.5,0.5,0.5,0.46
Like blazing orange sunset painting everything in warm glow,0.788,0.56,0.284,0.853,0.281,0.574,0.528,0.906
Splattered paint chaotic random abstract,0.5,0.62,0.75,0.55,0.58,0.68,0.08,0.62
Between depressed and lethargic and ecstatic and energized at 85%,0.5,0.5,0.5,0.815,0.815,0.5,0.5,0.5
This is: Not geometric at all - completely organic flowing chaotic forms,0.506,0.522,0.67,0.54,0.426,0.505,0.085,0.502
