text,warmth,brightness,texture,valence,arousal,intensity,geometry,color_temperature
90s Seattle grunge basement show,0.35,0.2,0.82,0.35,0.75,0.82,0.55,0.35
Nirvana raw distorted angst,0.3,0.35,0.88,0.25,0.85,0.9,0.5,0.3
flannel and feedback garage rock,0.4,0.3,0.8,0.4,0.7,0.75,0.45,0.4
90s Seattle grunge basement show,0.35,0.2,0.82,0.35,0.75,0.82,0.55,0.35
Nirvana raw distorted angst,0.3,0.35,0.88,0.25,0.85,0.9,0.5,0.3
flannel and feedback garage rock,0.4,0.3,0.8,0.4,0.7,0.75,0.45,0.4
Pearl Jam arena emotional catharsis,0.5,0.55,0.7,0.5,0.8,0.85,0.45,0.5
Soundgarden heavy sludge darkness,0.3,0.25,0.85,0.3,0.75,0.88,0.55,0.3
1970s disco fever,0.72,0.88,0.45,0.88,0.92,0.85,0.55,0.78
Studio 54 glitter and glamour,0.7,0.9,0.5,0.9,0.88,0.85,0.6,0.75
disco ball spinning lights dancing,0.68,0.92,0.4,0.92,0.9,0.82,0.55,0.72
funky bassline groove dancing,0.7,0.65,0.55,0.85,0.85,0.8,0.4,0.7
1970s disco fever,0.72,0.88,0.45,0.88,0.92,0.85,0.55,0.78
Studio 54 glitter and glamour,0.7,0.9,0.5,0.9,0.88,0.85,0.6,0.75
disco ball spinning lights dancing,0.68,0.92,0.4,0.92,0.9,0.82,0.55,0.72
funky bassline groove dancing,0.7,0.65,0.55,0.85,0.85,0.8,0.4,0.7
1970s disco fever,0.72,0.88,0.45,0.88,0.92,0.85,0.55,0.78
Studio 54 glitter and glamour,0.7,0.9,0.5,0.9,0.88,0.85,0.6,0.75
disco ball spinning lights dancing,0.68,0.92,0.4,0.92,0.9,0.82,0.55,0.72
funky bassline groove dancing,0.7,0.65,0.55,0.85,0.85,0.8,0.4,0.7
1970s disco fever,0.72,0.88,0.45,0.88,0.92,0.85,0.55,0.78
Studio 54 glitter and glamour,0.7,0.9,0.5,0.9,0.88,0.85,0.6,0.75
disco ball spinning lights dancing,0.68,0.92,0.4,0.92,0.9,0.82,0.55,0.72
funky bassline groove dancing,0.7,0.65,0.55,0.85,0.85,0.8,0.4,0.7
1970s disco fever,0.72,0.88,0.45,0.88,0.92,0.85,0.55,0.78
Studio 54 glitter and glamour,0.7,0.9,0.5,0.9,0.88,0.85,0.6,0.75
disco ball spinning lights dancing,0.68,0.92,0.4,0.92,0.9,0.82,0.55,0.72
funky bassline groove dancing,0.7,0.65,0.55,0.85,0.85,0.8,0.4,0.7
1970s disco fever,0.72,0.88,0.45,0.88,0.92,0.85,0.55,0.78
Studio 54 glitter and glamour,0.7,0.9,0.5,0.9,0.88,0.85,0.6,0.75
disco ball spinning lights dancing,0.68,0.92,0.4,0.92,0.9,0.82,0.55,0.72
funky bassline groove dancing,0.7,0.65,0.55,0.85,0.85,0.8,0.4,0.7
1970s disco fever,0.72,0.88,0.45,0.88,0.92,0.85,0.55,0.78
Studio 54 glitter and glamour,0.7,0.9,0.5,0.9,0.88,0.85,0.6,0.75
disco ball spinning lights dancing,0.68,0.92,0.4,0.92,0.9,0.82,0.55,0.72
funky bassline groove dancing,0.7,0.65,0.55,0.85,0.85,0.8,0.4,0.7
1970s disco fever,0.72,0.88,0.45,0.88,0.92,0.85,0.55,0.78
Studio 54 glitter and glamour,0.7,0.9,0.5,0.9,0.88,0.85,0.6,0.75
disco ball spinning lights dancing,0.68,0.92,0.4,0.92,0.9,0.82,0.55,0.72
funky bassline groove dancing,0.7,0.65,0.55,0.85,0.85,0.8,0.4,0.7
Donna Summer hot stuff dance floor,0.75,0.85,0.45,0.9,0.9,0.85,0.5,0.75
Bee Gees falsetto Saturday night,0.7,0.88,0.35,0.88,0.85,0.8,0.5,0.72
Tokyo City Pop nostalgia,0.72,0.78,0.35,0.78,0.55,0.55,0.5,0.68
80s Japanese city pop sunset drive,0.75,0.8,0.3,0.82,0.6,0.55,0.55,0.75
Tatsuro Yamashita summer breeze,0.78,0.82,0.3,0.85,0.55,0.5,0.45,0.78
Tokyo City Pop nostalgia,0.72,0.78,0.35,0.78,0.55,0.55,0.5,0.68
80s Japanese city pop sunset drive,0.75,0.8,0.3,0.82,0.6,0.55,0.55,0.75
Tatsuro Yamashita summer breeze,0.78,0.82,0.3,0.85,0.55,0.5,0.45,0.78
Tokyo City Pop nostalgia,0.72,0.78,0.35,0.78,0.55,0.55,0.5,0.68
80s Japanese city pop sunset drive,0.75,0.8,0.3,0.82,0.6,0.55,0.55,0.75
Tatsuro Yamashita summer breeze,0.78,0.82,0.3,0.85,0.55,0.5,0.45,0.78
Tokyo City Pop nostalgia,0.72,0.78,0.35,0.78,0.55,0.55,0.5,0.68
80s Japanese city pop sunset drive,0.75,0.8,0.3,0.82,0.6,0.55,0.55,0.75
Tatsuro Yamashita summer breeze,0.78,0.82,0.3,0.85,0.55,0.5,0.45,0.78
Tokyo City Pop nostalgia,0.72,0.78,0.35,0.78,0.55,0.55,0.5,0.68
80s Japanese city pop sunset drive,0.75,0.8,0.3,0.82,0.6,0.55,0.55,0.75
Tatsuro Yamashita summer breeze,0.78,0.82,0.3,0.85,0.55,0.5,0.45,0.78
Tokyo City Pop nostalgia,0.72,0.78,0.35,0.78,0.55,0.55,0.5,0.68
80s Japanese city pop sunset drive,0.75,0.8,0.3,0.82,0.6,0.55,0.55,0.75
Tatsuro Yamashita summer breeze,0.78,0.82,0.3,0.85,0.55,0.5,0.45,0.78
Tokyo City Pop nostalgia,0.72,0.78,0.35,0.78,0.55,0.55,0.5,0.68
80s Japanese city pop sunset drive,0.75,0.8,0.3,0.82,0.6,0.55,0.55,0.75
Tatsuro Yamashita summer breeze,0.78,0.82,0.3,0.85,0.55,0.5,0.45,0.78
Tokyo City Pop nostalgia,0.72,0.78,0.35,0.78,0.55,0.55,0.5,0.68
80s Japanese city pop sunset drive,0.75,0.8,0.3,0.82,0.6,0.55,0.55,0.75
Tatsuro Yamashita summer breeze,0.78,0.82,0.3,0.85,0.55,0.5,0.45,0.78
neon Tokyo nights city pop,0.6,0.75,0.4,0.75,0.65,0.6,0.65,0.6
Mariya Takeuchi plastic love,0.7,0.75,0.3,0.7,0.6,0.55,0.5,0.68
Mozart elegant chamber music,0.65,0.7,0.25,0.8,0.5,0.45,0.55,0.6
Beethoven stormy symphony passionate,0.5,0.55,0.6,0.55,0.85,0.9,0.5,0.5
Bach mathematical precision fugue,0.45,0.55,0.3,0.65,0.4,0.55,0.85,0.45
Chopin nocturne melancholy piano,0.55,0.3,0.25,0.45,0.25,0.55,0.4,0.5
Wagner operatic grandeur overwhelming,0.55,0.6,0.65,0.55,0.8,0.95,0.6,0.55
Debussy impressionist shimmer,0.6,0.65,0.2,0.75,0.3,0.45,0.25,0.55
Brian Eno ambient floating,0.55,0.5,0.15,0.7,0.1,0.2,0.3,0.5
Aphex Twin glitchy unsettling,0.35,0.45,0.7,0.4,0.55,0.65,0.75,0.4
drone music vast endless,0.45,0.4,0.3,0.5,0.15,0.6,0.35,0.45
Bauhaus modernist clarity,0.45,0.72,0.18,0.65,0.4,0.55,0.95,0.45
Bauhaus geometric precision clean lines,0.42,0.75,0.15,0.6,0.35,0.5,0.98,0.42
modernist architecture glass and steel,0.4,0.8,0.25,0.55,0.4,0.55,0.92,0.4
Bauhaus modernist clarity,0.45,0.72,0.18,0.65,0.4,0.55,0.95,0.45
Bauhaus geometric precision clean lines,0.42,0.75,0.15,0.6,0.35,0.5,0.98,0.42
modernist architecture glass and steel,0.4,0.8,0.25,0.55,0.4,0.55,0.92,0.4
Bauhaus modernist clarity,0.45,0.72,0.18,0.65,0.4,0.55,0.95,0.45
Bauhaus geometric precision clean lines,0.42,0.75,0.15,0.6,0.35,0.5,0.98,0.42
modernist architecture glass and steel,0.4,0.8,0.25,0.55,0.4,0.55,0.92,0.4
Bauhaus modernist clarity,0.45,0.72,0.18,0.65,0.4,0.55,0.95,0.45
Bauhaus geometric precision clean lines,0.42,0.75,0.15,0.6,0.35,0.5,0.98,0.42
modernist architecture glass and steel,0.4,0.8,0.25,0.55,0.4,0.55,0.92,0.4
Bauhaus modernist clarity,0.45,0.72,0.18,0.65,0.4,0.55,0.95,0.45
Bauhaus geometric precision clean lines,0.42,0.75,0.15,0.6,0.35,0.5,0.98,0.42
modernist architecture glass and steel,0.4,0.8,0.25,0.55,0.4,0.55,0.92,0.4
Bauhaus modernist clarity,0.45,0.72,0.18,0.65,0.4,0.55,0.95,0.45
Bauhaus geometric precision clean lines,0.42,0.75,0.15,0.6,0.35,0.5,0.98,0.42
modernist architecture glass and steel,0.4,0.8,0.25,0.55,0.4,0.55,0.92,0.4
Bauhaus modernist clarity,0.45,0.72,0.18,0.65,0.4,0.55,0.95,0.45
Bauhaus geometric precision clean lines,0.42,0.75,0.15,0.6,0.35,0.5,0.98,0.42
modernist architecture glass and steel,0.4,0.8,0.25,0.55,0.4,0.55,0.92,0.4
Bauhaus modernist clarity,0.45,0.72,0.18,0.65,0.4,0.55,0.95,0.45
Bauhaus geometric precision clean lines,0.42,0.75,0.15,0.6,0.35,0.5,0.98,0.42
modernist architecture glass and steel,0.4,0.8,0.25,0.55,0.4,0.55,0.92,0.4
International Style functional form,0.4,0.7,0.2,0.55,0.35,0.45,0.9,0.4
Le Corbusier concrete utopia,0.35,0.65,0.6,0.5,0.4,0.6,0.95,0.35
Brutalist concrete oppression,0.25,0.4,0.88,0.25,0.35,0.75,0.95,0.25
brutalist architecture raw concrete,0.28,0.45,0.9,0.3,0.3,0.7,0.92,0.28
Brutalist concrete oppression,0.25,0.4,0.88,0.25,0.35,0.75,0.95,0.25
brutalist architecture raw concrete,0.28,0.45,0.9,0.3,0.3,0.7,0.92,0.28
Brutalist concrete oppression,0.25,0.4,0.88,0.25,0.35,0.75,0.95,0.25
brutalist architecture raw concrete,0.28,0.45,0.9,0.3,0.3,0.7,0.92,0.28
Brutalist concrete oppression,0.25,0.4,0.88,0.25,0.35,0.75,0.95,0.25
brutalist architecture raw concrete,0.28,0.45,0.9,0.3,0.3,0.7,0.92,0.28
Brutalist concrete oppression,0.25,0.4,0.88,0.25,0.35,0.75,0.95,0.25
brutalist architecture raw concrete,0.28,0.45,0.9,0.3,0.3,0.7,0.92,0.28
Soviet brutalist monument massive,0.2,0.35,0.85,0.2,0.4,0.9,0.95,0.2
concrete jungle urban decay,0.3,0.4,0.82,0.25,0.45,0.7,0.85,0.3
Art Nouveau organic flourish,0.65,0.55,0.45,0.75,0.45,0.55,0.1,0.62
Art Nouveau flowing curves nature,0.68,0.6,0.4,0.78,0.4,0.5,0.08,0.65
Art Nouveau organic flourish,0.65,0.55,0.45,0.75,0.45,0.55,0.1,0.62
Art Nouveau flowing curves nature,0.68,0.6,0.4,0.78,0.4,0.5,0.08,0.65
Art Nouveau organic flourish,0.65,0.55,0.45,0.75,0.45,0.55,0.1,0.62
Art Nouveau flowing curves nature,0.68,0.6,0.4,0.78,0.4,0.5,0.08,0.65
Art Nouveau organic flourish,0.65,0.55,0.45,0.75,0.45,0.55,0.1,0.62
Art Nouveau flowing curves nature,0.68,0.6,0.4,0.78,0.4,0.5,0.08,0.65
Art Nouveau organic flourish,0.65,0.55,0.45,0.75,0.45,0.55,0.1,0.62
Art Nouveau flowing curves nature,0.68,0.6,0.4,0.78,0.4,0.5,0.08,0.65
Mucha poster decorative elegance,0.7,0.65,0.35,0.8,0.45,0.55,0.15,0.68
Gaudi organic architecture Barcelona,0.72,0.7,0.5,0.82,0.5,0.65,0.05,0.7
Rococo gilded excess,0.78,0.82,0.68,0.75,0.55,0.82,0.4,0.85
Rococo ornate decoration gold,0.8,0.85,0.7,0.78,0.5,0.8,0.35,0.88
Rococo gilded excess,0.78,0.82,0.68,0.75,0.55,0.82,0.4,0.85
Rococo ornate decoration gold,0.8,0.85,0.7,0.78,0.5,0.8,0.35,0.88
Rococo gilded excess,0.78,0.82,0.68,0.75,0.55,0.82,0.4,0.85
Rococo ornate decoration gold,0.8,0.85,0.7,0.78,0.5,0.8,0.35,0.88
Rococo gilded excess,0.78,0.82,0.68,0.75,0.55,0.82,0.4,0.85
Rococo ornate decoration gold,0.8,0.85,0.7,0.78,0.5,0.8,0.35,0.88
Rococo gilded excess,0.78,0.82,0.68,0.75,0.55,0.82,0.4,0.85
Rococo ornate decoration gold,0.8,0.85,0.7,0.78,0.5,0.8,0.35,0.88
Versailles opulent chambers,0.75,0.88,0.65,0.72,0.45,0.85,0.45,0.85
French aristocratic extravagance,0.72,0.8,0.6,0.7,0.5,0.8,0.5,0.82
Gothic cathedral soaring darkness,0.3,0.25,0.7,0.45,0.4,0.85,0.9,0.3
medieval Gothic pointed arches,0.35,0.3,0.65,0.5,0.35,0.75,0.92,0.35
Notre Dame stained glass shadows,0.4,0.35,0.55,0.55,0.3,0.7,0.85,0.45
Impressionist light dancing water,0.65,0.8,0.25,0.8,0.4,0.45,0.2,0.65
Monet garden soft colors,0.7,0.75,0.2,0.85,0.3,0.4,0.15,0.68
Renoir warm flesh tones,0.78,0.7,0.3,0.82,0.45,0.5,0.2,0.8
Expressionist distorted emotion,0.45,0.5,0.7,0.3,0.75,0.85,0.55,0.5
Munch Scream anxiety visualization,0.35,0.45,0.75,0.15,0.85,0.92,0.5,0.4
German Expressionist shadows,0.3,0.2,0.7,0.25,0.65,0.8,0.65,0.3
Victorian mourning parlor,0.32,0.22,0.55,0.22,0.18,0.65,0.6,0.35
Victorian era dark heavy drapes,0.35,0.2,0.65,0.3,0.2,0.6,0.55,0.38
Victorian Gothic gloomy mansion,0.3,0.18,0.7,0.25,0.25,0.7,0.65,0.32
Victorian mourning parlor,0.32,0.22,0.55,0.22,0.18,0.65,0.6,0.35
Victorian era dark heavy drapes,0.35,0.2,0.65,0.3,0.2,0.6,0.55,0.38
Victorian Gothic gloomy mansion,0.3,0.18,0.7,0.25,0.25,0.7,0.65,0.32
Victorian mourning parlor,0.32,0.22,0.55,0.22,0.18,0.65,0.6,0.35
Victorian era dark heavy drapes,0.35,0.2,0.65,0.3,0.2,0.6,0.55,0.38
Victorian Gothic gloomy mansion,0.3,0.18,0.7,0.25,0.25,0.7,0.65,0.32
Victorian mourning parlor,0.32,0.22,0.55,0.22,0.18,0.65,0.6,0.35
Victorian era dark heavy drapes,0.35,0.2,0.65,0.3,0.2,0.6,0.55,0.38
Victorian Gothic gloomy mansion,0.3,0.18,0.7,0.25,0.25,0.7,0.65,0.32
Victorian mourning parlor,0.32,0.22,0.55,0.22,0.18,0.65,0.6,0.35
Victorian era dark heavy drapes,0.35,0.2,0.65,0.3,0.2,0.6,0.55,0.38
Victorian Gothic gloomy mansion,0.3,0.18,0.7,0.25,0.25,0.7,0.65,0.32
Victorian mourning parlor,0.32,0.22,0.55,0.22,0.18,0.65,0.6,0.35
Victorian era dark heavy drapes,0.35,0.2,0.65,0.3,0.2,0.6,0.55,0.38
Victorian Gothic gloomy mansion,0.3,0.18,0.7,0.25,0.25,0.7,0.65,0.32
Victorian mourning parlor,0.32,0.22,0.55,0.22,0.18,0.65,0.6,0.35
Victorian era dark heavy drapes,0.35,0.2,0.65,0.3,0.2,0.6,0.55,0.38
Victorian Gothic gloomy mansion,0.3,0.18,0.7,0.25,0.25,0.7,0.65,0.32
Victorian mourning parlor,0.32,0.22,0.55,0.22,0.18,0.65,0.6,0.35
Victorian era dark heavy drapes,0.35,0.2,0.65,0.3,0.2,0.6,0.55,0.38
Victorian Gothic gloomy mansion,0.3,0.18,0.7,0.25,0.25,0.7,0.65,0.32
Victorian drawing room formal,0.45,0.35,0.5,0.45,0.25,0.55,0.6,0.5
Victorian mourning black crepe,0.25,0.15,0.6,0.15,0.15,0.7,0.55,0.25
1920s speakeasy glamour,0.68,0.38,0.45,0.78,0.72,0.7,0.55,0.72
roaring twenties jazz age,0.7,0.55,0.4,0.85,0.82,0.78,0.5,0.72
art deco speakeasy golden,0.65,0.45,0.5,0.75,0.7,0.68,0.75,0.75
1920s speakeasy glamour,0.68,0.38,0.45,0.78,0.72,0.7,0.55,0.72
roaring twenties jazz age,0.7,0.55,0.4,0.85,0.82,0.78,0.5,0.72
art deco speakeasy golden,0.65,0.45,0.5,0.75,0.7,0.68,0.75,0.75
1920s speakeasy glamour,0.68,0.38,0.45,0.78,0.72,0.7,0.55,0.72
roaring twenties jazz age,0.7,0.55,0.4,0.85,0.82,0.78,0.5,0.72
art deco speakeasy golden,0.65,0.45,0.5,0.75,0.7,0.68,0.75,0.75
1920s speakeasy glamour,0.68,0.38,0.45,0.78,0.72,0.7,0.55,0.72
roaring twenties jazz age,0.7,0.55,0.4,0.85,0.82,0.78,0.5,0.72
art deco speakeasy golden,0.65,0.45,0.5,0.75,0.7,0.68,0.75,0.75
1920s speakeasy glamour,0.68,0.38,0.45,0.78,0.72,0.7,0.55,0.72
roaring twenties jazz age,0.7,0.55,0.4,0.85,0.82,0.78,0.5,0.72
art deco speakeasy golden,0.65,0.45,0.5,0.75,0.7,0.68,0.75,0.75
1920s speakeasy glamour,0.68,0.38,0.45,0.78,0.72,0.7,0.55,0.72
roaring twenties jazz age,0.7,0.55,0.4,0.85,0.82,0.78,0.5,0.72
art deco speakeasy golden,0.65,0.45,0.5,0.75,0.7,0.68,0.75,0.75
1920s speakeasy glamour,0.68,0.38,0.45,0.78,0.72,0.7,0.55,0.72
roaring twenties jazz age,0.7,0.55,0.4,0.85,0.82,0.78,0.5,0.72
art deco speakeasy golden,0.65,0.45,0.5,0.75,0.7,0.68,0.75,0.75
1920s speakeasy glamour,0.68,0.38,0.45,0.78,0.72,0.7,0.55,0.72
roaring twenties jazz age,0.7,0.55,0.4,0.85,0.82,0.78,0.5,0.72
art deco speakeasy golden,0.65,0.45,0.5,0.75,0.7,0.68,0.75,0.75
flapper dancing Charleston,0.68,0.6,0.35,0.88,0.85,0.75,0.45,0.7
Gatsby party decadent excess,0.7,0.7,0.45,0.75,0.8,0.82,0.55,0.78
1950s diner chrome and neon,0.65,0.8,0.45,0.75,0.6,0.55,0.7,0.65
suburban 1950s Americana,0.7,0.75,0.35,0.7,0.45,0.45,0.65,0.68
drive-in movie summer night,0.72,0.4,0.3,0.8,0.55,0.5,0.5,0.7
1960s psychedelic explosion,0.6,0.85,0.55,0.75,0.85,0.85,0.25,0.65
summer of love flower power,0.75,0.8,0.4,0.9,0.7,0.7,0.2,0.72
mod London swinging sixties,0.55,0.75,0.4,0.8,0.75,0.7,0.7,0.55
1980s neon excess synthesizers,0.55,0.88,0.5,0.7,0.8,0.82,0.75,0.6
Miami Vice pastel suits,0.6,0.85,0.35,0.72,0.65,0.65,0.7,0.65
80s power ballad arena rock,0.6,0.75,0.55,0.7,0.85,0.88,0.55,0.6
goth club vampire aesthetic,0.22,0.12,0.55,0.35,0.55,0.72,0.55,0.22
gothic subculture dark romance,0.35,0.15,0.5,0.4,0.45,0.68,0.5,0.3
goth Victorian mourning aesthetic,0.25,0.1,0.55,0.3,0.4,0.7,0.6,0.25
goth club vampire aesthetic,0.22,0.12,0.55,0.35,0.55,0.72,0.55,0.22
gothic subculture dark romance,0.35,0.15,0.5,0.4,0.45,0.68,0.5,0.3
goth Victorian mourning aesthetic,0.25,0.1,0.55,0.3,0.4,0.7,0.6,0.25
