text,warmth,brightness,texture,valence,arousal,intensity,geometry,color_temperature
evokes meditative stillness,0.55,0.5,0.5,0.75,0.05,0.2,0.5,0.5
extremely neon-lit cyberpunk city,0.5,1.0,0.8,0.8,1.0,1.0,1.0,0.8
absolute copper metallic sheen feeling,0.65,0.65,0.35,0.5,0.5,0.5,0.5,0.8
absolute joyful celebration,0.75,0.85,0.5,0.92,0.85,0.5,0.5,0.5
very bitter resentment,0.1999999999999999,0.5,0.8,0.0,0.5,0.85,0.5,0.5
the feeling of massive explosion,0.5,0.9,0.85,0.5,0.95,0.98,0.5,0.5
experiencing mild sensation,0.5,0.5,0.5,0.5,0.3,0.2,0.5,0.5
barely gentle rolling hills,0.35,0.5,0.5,0.55,0.5,0.5,0.35,0.5
warm embrace energy,0.85,0.5,0.2,0.9,0.5,0.6,0.5,0.5
luminous screen glow energy,0.5,0.8,0.5,0.5,0.5,0.5,0.8,0.4
evokes drowsy relaxation,0.65,0.5,0.5,0.7,0.1,0.5,0.5,0.5
intensely subtle hint,0.5,0.5,0.5,0.5,0.0499999999999999,0.0,0.5,0.5
pure flowing organic curves,0.5,0.5,0.25,0.7,0.5,0.5,0.08,0.5
neutral daylight atmosphere,0.5,0.7,0.5,0.6,0.5,0.5,0.5,0.5
funeral in the rain atmosphere,0.3,0.25,0.45,0.08,0.3,0.85,0.55,0.35
deep shadows vibes,0.5,0.1,0.5,0.35,0.5,0.55,0.5,0.5
the feeling of serene calm atmosphere,0.5,0.5,0.5,0.8,0.08,0.2,0.5,0.5
pure copper metallic sheen,0.65,0.65,0.35,0.5,0.5,0.5,0.5,0.8
experiencing blazing midday sun,0.9,0.95,0.5,0.5,0.5,0.75,0.5,0.85
deep navy blue vibes,0.5,0.25,0.5,0.5,0.5,0.55,0.5,0.15
total drowsy relaxation energy,0.65,0.5,0.5,0.7,0.1,0.5,0.5,0.5
golden sunset glow vibes,0.85,0.7,0.5,0.85,0.5,0.5,0.5,0.95
the feeling of mild interest feeling,0.5,0.5,0.5,0.65,0.45,0.5,0.5,0.5
slightly peaceful contentment,0.5499999999999999,0.5,0.5,0.7,0.3,0.55,0.5,0.5
the feeling of overwhelming love,0.9,0.5,0.5,0.95,0.75,0.9,0.5,0.5
intensely rusted corroded metal,0.25,0.5,1.0,0.0499999999999999,0.5,0.5,0.5,0.5
mind-blowing revelation sensation,0.5,0.5,0.5,0.75,0.85,0.88,0.5,0.5
the feeling of cracked dry earth,0.6,0.65,0.82,0.35,0.5,0.5,0.5,0.5
reminds me of gravel crunching underfoot,0.5,0.5,0.8,0.5,0.4,0.45,0.5,0.5
pitch black darkness atmosphere,0.5,0.02,0.5,0.5,0.3,0.5,0.5,0.5
barely quiet contemplation,0.5,0.5,0.5,0.45,0.35,0.5,0.5,0.5
the feeling of cool mint green,0.4,0.5,0.5,0.7,0.5,0.5,0.5,0.25
hot cup of tea energy,0.85,0.5,0.5,0.8,0.25,0.4,0.5,0.5
very cubist fragmentation,0.5,0.5,0.7000000000000001,0.5,0.7000000000000001,0.5,1.0,0.5
pure cold metal railing,0.15,0.5,0.5,0.5,0.5,0.5,0.75,0.2
frozen lake surface sensation,0.08,0.65,0.4,0.5,0.5,0.5,0.5,0.1
total hot summer afternoon,0.9,0.9,0.5,0.7,0.5,0.5,0.5,0.85
deep shadows feeling,0.5,0.1,0.5,0.35,0.5,0.55,0.5,0.5
like gnawing anxiety sensation,0.5,0.5,0.65,0.18,0.8,0.75,0.5,0.5
pure terrifying fear atmosphere,0.2,0.5,0.5,0.1,0.95,0.92,0.5,0.5
abandoned factory in winter rain atmosphere,0.15,0.3,0.85,0.15,0.3,0.65,0.8,0.25
pure steaming hot bath vibes,0.92,0.5,0.15,0.8,0.2,0.5,0.5,0.5
barely devastating impact,0.5,0.5,0.55,0.3,0.5,0.75,0.5,0.5
somewhat wooden grain pattern,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5
pure peaceful rest,0.5,0.5,0.5,0.75,0.08,0.2,0.5,0.5
harsh angular shadows vibes,0.5,0.25,0.5,0.35,0.5,0.5,0.85,0.5
the feeling of tropical heat,0.95,0.8,0.5,0.7,0.5,0.5,0.5,0.9
gleaming white marble energy,0.5,0.88,0.1,0.5,0.5,0.5,0.7,0.4
extremely rounded bubble shapes,0.5,0.5,0.0,0.95,0.5,0.5,0.0,0.5
extremely meditative stillness,0.8,0.5,0.5,1.0,0.0,0.0,0.5,0.5
experiencing overwhelming dread sensation,0.5,0.5,0.5,0.08,0.85,0.9,0.5,0.5
reminds me of quiet library at midnight atmosphere,0.55,0.3,0.4,0.65,0.1,0.35,0.7,0.5
extremely smooth river stones,0.5,0.5,0.0,0.9,0.5,0.5,0.15,0.5
crystalline facets atmosphere,0.5,0.75,0.45,0.5,0.5,0.5,0.9,0.5
reminds me of drowsy relaxation,0.65,0.5,0.5,0.7,0.1,0.5,0.5,0.5
barely sharp geometric edges,0.5,0.5,0.45,0.5,0.5,0.5,0.75,0.5
intensely polar white ice,0.0,1.0,0.25,0.5,0.5,0.5,0.5,0.0
experiencing triumphant victory feeling,0.5,0.8,0.5,0.92,0.9,0.85,0.5,0.5
amber firelight sensation,0.9,0.4,0.5,0.8,0.5,0.5,0.5,0.92
steaming hot bath feeling,0.92,0.5,0.15,0.8,0.2,0.5,0.5,0.5
barely rusted corroded metal,0.65,0.5,0.6799999999999999,0.45,0.5,0.5,0.5,0.5
reminds me of warm embrace atmosphere,0.85,0.5,0.2,0.9,0.5,0.6,0.5,0.5
like icy wind cutting through,0.1,0.5,0.7,0.5,0.6,0.75,0.5,0.5
icy wind cutting through sensation,0.1,0.5,0.7,0.5,0.6,0.75,0.5,0.5
evokes faint starlight,0.5,0.12,0.5,0.6,0.5,0.35,0.5,0.3
absolute overwhelming dread feeling,0.5,0.5,0.5,0.08,0.85,0.9,0.5,0.5
total crushing despair,0.5,0.15,0.5,0.02,0.4,0.95,0.5,0.5
intensely gentle tranquility,0.8500000000000001,0.5,0.0,1.0,0.0,0.5,0.5,0.5
mild sensation atmosphere,0.5,0.5,0.5,0.5,0.3,0.2,0.5,0.5
the feeling of cozy cabin in the mountains,0.85,0.45,0.45,0.88,0.2,0.45,0.4,0.8
the feeling of gnawing anxiety feeling,0.5,0.5,0.65,0.18,0.8,0.75,0.5,0.5
total warm fireplace glow,0.88,0.35,0.5,0.85,0.5,0.5,0.5,0.85
slightly dusky twilight hour,0.4,0.4,0.5,0.4499999999999999,0.4499999999999999,0.5,0.5,0.5
evokes terrifying fear,0.2,0.5,0.5,0.1,0.95,0.92,0.5,0.5
like baby skin soft,0.75,0.5,0.1,0.85,0.5,0.5,0.5,0.5
like overwhelming power,0.5,0.5,0.5,0.5,0.8,0.95,0.5,0.5
very neutral daylight,0.5,0.85,0.5,0.75,0.5,0.5,0.5,0.5
experiencing clinical fluorescent,0.5,0.9,0.5,0.35,0.5,0.5,0.8,0.3
barely pure ecstatic joy,0.6000000000000001,0.6499999999999999,0.5,0.78,0.6499999999999999,0.5,0.5,0.5
icy blue winter energy,0.08,0.65,0.5,0.5,0.5,0.5,0.5,0.05
like overwhelming catastrophe,0.5,0.5,0.5,0.05,0.85,0.98,0.5,0.5
copper metallic sheen energy,0.65,0.65,0.35,0.5,0.5,0.5,0.5,0.8
very overcast afternoon,0.5,0.5,0.5,0.5,0.1999999999999999,0.5,0.5,0.5
somewhat lazy Sunday morning,0.6,0.5,0.5,0.65,0.25,0.5,0.5,0.5
steady focus energy,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
crushing despair energy,0.5,0.15,0.5,0.02,0.4,0.95,0.5,0.5
evokes profound emotional weight,0.5,0.5,0.5,0.35,0.45,0.9,0.5,0.5
silver moonlight feeling,0.3,0.5,0.5,0.6,0.5,0.5,0.5,0.15
